STATION_NAME,longitude,latitude
Tallarook,145.10296900728187,-37.09225783682419
Tecoma,145.34316589005422,-37.908212868783046
Thomastown,145.01429996842066,-37.68028283889237
Thornbury,144.99858193196783,-37.75503483686273
Toorak,145.01379893267048,-37.85083384745061
Tooronga,145.04173991442278,-37.849356850122234
Tottenham,144.8629539437055,-37.79924182997644
Trafalgar,146.15576569951278,-38.207166925545934
Traralgon,146.53889262139796,-38.19863795360744
Tyabb,145.1862348793871,-38.25973885857016
Tynong,145.6281797991501,-38.08488288400039
Upfield,144.94675094312194,-37.666062836355486
Upper Ferntree Gully,145.3074758944299,-37.89263486701821
Upwey,145.33139488967527,-37.903636867166924
Victoria Park,144.99441296169488,-37.7993678461026
Violet Town,145.71732595644767,-36.63856388076188
Wallan,145.00540699996841,-37.416857836524706
Wandong,145.0265979816681,-37.3548078373304
Wangaratta,146.31672889858916,-36.35511893950502
Warragul,145.93265774133062,-38.1649139095739
Warrnambool,142.47505636004507,-38.38505969774367
Watsonia,145.08339495912617,-37.71136684514445
Wattle Glen,145.1817199402544,-37.66392885231956
Werribee,144.66112200236634,-37.899369820994835
West Footscray,144.8832639597081,-37.80171483091285
West Richmond,144.99142893893136,-37.814935845563326
Westall,145.13883992135968,-37.93847885150625
Westgarth,144.99915296739735,-37.78072384115068
Westona,144.81350697029464,-37.865152834194944
Williamstown,144.90564093764436,-37.86786883420054
Williamstown Beach,144.8946699586814,-37.864089832284336
Willison,145.0701459209735,-37.835473850350986
Winchelsea,143.98430608385752,-38.23992872510962
Windsor,144.9917389415636,-37.855815843190435
Woodend,144.52616109073992,-37.35932080205413
Yarragon,146.06307172206644,-38.20318392256439
Yarraman,145.19135965792498,-37.97793729214461
Yarraville,144.88994196043637,-37.81580883204542
Coolaroo,144.92605897372835,-37.66098783524393
Wodonga,146.87165266960824,-36.10587699314253
Sherwood Park,142.53898433193308,-38.3863577051929
Wendouree,143.8200271463592,-37.539772762263496
South Morang,145.06747395316145,-37.649062846643034
Lynbrook,145.24939685768857,-38.05731885999275
Cardinia Road,145.43809384249786,-38.071313873399994
Williams Landing,144.74662898409235,-37.870239827115064
Talbot,143.70653921763036,-37.170747754330414
Waurn Ponds,144.30672701314091,-38.2158397768094
Tarneit,144.69448900079473,-37.83213182428505
Wyndham Vale,144.60834601992997,-37.872619815192465
Aircraft,144.76081498474306,-37.86658982694531
Stawell,142.77324836448355,-37.05941772258728
Flemington Racecourse,144.90720194161386,-37.78757283441139
Showgrounds,144.91498795475692,-37.78353883176323
Southland,145.04909991351153,-37.95876685527693
Caroline Springs,144.73643300063884,-37.766436822118976
Middle Gorge,145.09217295129227,-37.644039843917525
Hawkstowe,145.09738396644502,-37.62292284594333
Mernda,145.10090297688558,-37.6025258444385
Alamein,145.07956392077847,-37.86882985428094
Albion,144.82471598668644,-37.77764282753686
Albury,146.92425975939307,-36.0855293951015
Alphington,145.03125695038307,-37.77838284200665
Altona,144.8292039628472,-37.86708383315813
Anstey,144.96068294840168,-37.76124183415929
Ararat,142.9368953379063,-37.282171737964035
Ardeer,144.80126598509494,-37.78292982470836
Armadale,145.01937992472034,-37.85642184835585
Ascot Vale,144.92188996351553,-37.77540783276596
Ashburton,145.0814219264327,-37.86175485694593
Aspendale,145.10201290607029,-38.02703185250836
Auburn,145.04562293010594,-37.822397855282276
Avenel,145.22950501139658,-36.893686849054724
